"Name","Account #.","Our Code","Sub","Cust/Vend" as text,"Cust/Vend","Type","Region","Rating","Priority","Approved" as text,"Approved","Hold" as text,"Hold","Alt 1","Alt 2","Alt 3","Alt 4","Address1","Address2","Address3","City","State","Zip","Country","County","Phone1" as text,"Phone1","Fax1" as text,"Fax1","Phone2" as text,"Phone2","Fax2" as text,"Fax2","E-Mail","Contact","S.Person-1","S.Person-1 Name","S.Person-2","S.Person-3","S.Person-4","S.Person-5","1099 Form" as text,"1099 Form","Customer Currency","Tax ID#","Resale Cert","GL Account"
"DCG Precision Manufacturing ",="256","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="9 Trowbridge Drive ","","","Bethel","CT",="06801","","","743-5525",="743-5525",,"",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"DCL- Design Communications Ltd.",="340","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="85 Bodwell St","","","Avon","MA",="02322","","","542 9620",="542 9620",,"","","",,"","Dabesamra@dclboston.com",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"De Leon Plastics Corp.",="425","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="473 Getty Avenue","","","Paterson","NJ",="07503","","","653-3480",="653-3480","278-4383",="278-4383",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="26-1953343",="261-953-343-000",="4000-00-00"
"Delaney Machine Products Ltd ",="785","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","150 S. Alleghany Ave","","","Lindenhurst","NY",="11757","","",,"","631-225-5723",="631-225-5723","631-225-1032",="631-225-1032",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="11-3195064","",="4000-00-00"
"Delaware Dynamics, LLC",="470","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="700 S Mulberry St","","","Muncie","IN",="47302","","","284-3335",="284-3335",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD",="27-4077846","",="4000-00-00"
"DeLeon Plastics Corp.",="453","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="473 Getty Avenue","","","Paterson ","NJ",="07503","","","653-3480",="653-3480",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="26-1953343","",="4000-00-00"
"Delta Machine Works",="436","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="257 Division Avenue","","","Carlstadt","NJ",="07072","","","935-7474",="935-7474",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="47-2188939",="472-188-939-000",="4000-00-00"
"Delta-Ray Industries Inc",="422","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="805 Housatonic Ave","","","Bridgeport","CT",="06604","","","367 - 6910",="367 - 6910","203 - 367 - 6975",="203 - 367 - 6975",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="061547159","",="4000-00-00"
"Del-tron Precision Inc.",="353","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","","778-2727",="778-2727",,"",,"",,"","",="0001","","","","","","","No","N","USD","","",="4000-00-00"
"Design Machine",="398","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="2196 Post Road","","","Wakefield","RI",="02879","","","783-0487",="783-0487",,"",,"",,"","",="0002","BT","Bob Thompson","","","","","No","N","USD",="050497234",="2-0325-0032",="4000-00-00"
"DF&B Precision Mfg.",="108","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","180 Sunny Valley Rd.","","","New Milford","CT",="06776","","","354-5663",="354-5663","354-8383",="354-8383",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD",="06-1324664",="6798458-000",="4000-00-00"
"DG Precision Mfg.",="675","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="90 Washington Rd","PO Drawer 349, Woodbury, CT 06798","","Woodbury","CT",="06798","","","263 - 4353",="263 - 4353",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="06-0630697","",="4000-00-00"
"DHR Precision Products","ALUM77","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="3821 East Main St","","","Waterbury","CT",="06705","United States","","754-2083",="754-2083",,"",,"",,"","sales@dhrprecision.net",="0003","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Dickson Product Development",="101","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","14 Perry Ave.","","","Norwalk","CT",="06850","","","846-2128",="846-2128",,"",,"",,"","",="0005","JL","Joe Lafantano","","","","","No","N","USD",="06-0869044",="0721464-000",="4000-00-00"
"DiFruscia Industries Inc. ",="241","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="1425 Cranston Street","","","Cranston","RI",="02920","","","943-9900",="943-9900",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Diversified Industrial Products",="361","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="14 Connor Lane","","","Deer Park","NY",="11729","","","875-3549",="875-3549",,"",,"",,"","",="0002","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Diversified Metals, Inc (dba Wieland Diversified ",="301","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","","49 Main St. ","","","Monson","MA",="01057","","","267-5101",="267-5101",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Dosco Sheet Metal",="446","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","6 Grafton St.","","","Millbury","MA",="01527","","","865-9998",="865-9998",,"",,"",,"","",="0002","JG","Jason Ganser","","","","","No","N","USD",="042953751",="660965000",="4000-00-00"
"Droitcour Company",="252","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="28 Greystone St","","","Warwick","RI",="02886","","","737-4646",="737-4646",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"DS MACHINING",="263","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="4 COBBLEWOOD ROAD","","","BLAIRSTOWN","NJ",="07825","","","616-0336",="616-0336",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Durco Mfg., Inc.",="376","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","493 S.Leonard Street","","","Waterbury","CT",="06708","","","575-0446",="575-0446",,"",,"",,"","barb@Durcomfg.com","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Durkins Inc.",="712","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","90 Beaver Brook Rd.","","","Danbury","CT",="06810","","","748 - 2142",="748 - 2142",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="06-0633306","",="4000-00-00"
"Durol Company",="858","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Dutchess Metal Supply Corp","D00021","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="26 Hatfield Lane","","","Poughkeepsie","NY",="12603","United States","","454-9330",="454-9330",,"",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","",="14-1704976",="4000-00-00"
"E&S Gage Inc.",="776","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="38 Gerber Dr","","","Tolland ","CT",="06084","","",,"","860-872-6710",="860-872-6710","860-872-5917",="860-872-5917",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="05-0631977",="10174605-001",="4000-00-00"
"East Branch Eng. and Mfg.",="121","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="57 South End Plaza","","","New Milford","CT",="06776","","","355-9661",="355-9661","355-9229",="355-9229",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"East Windsor Welding",="411","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Ed Lynch",="299","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="11 Redbrook Lane","","","Ledyard","CT",="06339","","","732-9224",="732-9224",,"",,"",,"","catalyst05@comcast.net","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Ed Mar Industries Inc",="836","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="11 Ray Place","","","Fairfield","NJ",="07004-3001","","","808 - 9205",="808 - 9205",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"EDCO Engineering",="372","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="100 Rockwell Road","","","Newington","CT",="06111","","","667-8292",="667-8292",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Eddie Kozlowski",="684","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Eddies Wheels Inc. ",="250","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="140 State Street","","","Shelburne Falls","MA",="01370","","","834-2951",="834-2951",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"EH Metalcraft Co. Inc",="640","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="396 West St","","","West Bridgewater","MA",="02379","","","580 - 0870",="580 - 0870","508 - 580 - 0871",="508 - 580 - 0871",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="042171854",="042171854",="4000-00-00"
"EIS~Engineered Inserts & Systems",="357","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","200 Cascade Blvd. ","Unit D","","Milford","CT",="06460","","","301-3334",="301-3334",,"",,"",,"","",="0003","JL","Joe Lafantano","","","","","No","N","USD",="06-1238048",="5274089-000",="4000-00-00"
"Electro Mechanical Specialists",="821","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="6 Commerce Park Rd","","","Bozrah","CT",="06334","","","887-2613",="887-2613",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Elite Metal Finishing LLC",="518","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="501 Spectrum Circle","","","Oxnard ","CA",="93030","","","983-4320",="983-4320","805 - 983 - 3830",="805 - 983 - 3830",,"",,"","","","RE","Russell Earls","","","","","No","N","USD",="77-0583160","SR AR 97-942256",="4000-00-00"
"Ellis Manufacturing","E00023","",="1","Customer","C","","","","","Yes","Y","No","n","","","","",="161 Woodford Ave","","","Plainville","CT",="06062","United States","","518-0531",="518-0531",,"",,"",,"","ellismanufacturing@yahoo.com","","JG","Jason Ganser","","","","","No","N","USD",="27-3142184",="51136984-001",="4000-00-00"
"Ellwood Specialty Steel",="857","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="499 Honeybee Lane","","","New Castle","PA",="16105","","","714-4602",="714-4602","724 - 654 - 9550",="724 - 654 - 9550",,"",,"","","","RE","Russell Earls","","","","","No","N","USD",="51-03523158","",="4000-00-00"
"Elmco MPC Tool Company LLC",="249","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="3 Peter Road","","","Bristol","RI",="02809","","","253-3611",="253-3611",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Elmi Machine & Tool Co., INC",="677","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="15 Spielman Rd","Unit B","","Fairfield","NJ",="07004","","","882 - 1277",="882 - 1277","973 - 882 - 1257",="973 - 882 - 1257","","",,"","","","EP","Edward Pantalena","","","","","No","N","USD","",="222-549-639",="4000-00-00"
"Elwood Designs LLC",="230","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="50 West Ave ","#3","","Essex","CT",="06426","","","941-9128",="941-9128",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","CDL# 144315941 EXP 2/24/22",="4000-00-00"
"EMF Screw Machine Products, Inc. ",="369","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="161 Woodford Ave","","","Plainville","CT",="06062","","","747-5388",="747-5388",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="06-1572477",="9787367-000",="4000-00-00"
"EMI Evans",="570","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="32 North Manchester st","","","Brockton","MA",="02302","","","584-8085",="584-8085","508-559-0767",="508-559-0767",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="04-2671474",="04-2671474",="4000-00-00"
"EMP CO INC",="559","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="147 Terryville Rd","","","Bristol","CT",="06010","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="06-0854518",="0703306000",="4000-00-00"
"Empire Metal Supply Inc.","E00001","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="184 Express Drive S","","","Brentwood","NY",="11717","","","231-5000",="231-5000","231-5191",="231-5191",,"",,"","",="0004","JG","Jason Ganser","","","","","No","N","USD",="11-2937892",="11-2937892",="4000-00-00"
"Energy Beams, Inc.",="722","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="185 Hamburg Turnpike","","","Bloomingdale","NJ",="07403","","","838-3037",="838-3037",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Entrust Corp.",="783","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="1187 Park Place","","","Shakopee","MN",="55379","","",,"",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"ErgoMet, Inc.",="370","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","60 Ward Hill Ave.","","","Haverhill","MA",="01835","","","374-1172",="374-1172",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Essex Bay Engineering",="288","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","19 Mitchell Rd. ","","","Ipswich","MA",="01938","","",,"",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Esteem Manufacturing Corp. ",="614","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","175 S. Satellite Rd","","","South Windsor","CT",="06074","","","282 - 9964",="282 - 9964","860 - 289 - 9392",="860 - 289 - 9392",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="06-1069740",="3056488-000",="4000-00-00"
"Euclid Machine And Design LLC",="771","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="8401 Brighton Rd","","","Commerce City","CO",="80022","","",,"",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Evans Components, Inc.",="328","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="7606 SW Bridgeport Road","","","Portland","OR",="97224","","","249-1600",="249-1600",,"",,"",,"","",="0001","RJE","Russell Earls","","","","","No","N","USD","","",="4000-00-00"
"EVANS Industries",="429","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="249 Boston St","","","Topsfield","MA",="01983","","","887-8561",="887-8561",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD",="04-2386282","",="4000-00-00"
"Everest Metals Industries, Inc.",="723","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="238 Andover Street ","","","Wilmington","MA",="01887","","","694-8989",="694-8989",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Evergreen Sheet Metal",="158","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="302 Herman Melville Blvd","","","New Bedford","MA",="02740","","","992-5200",="992-5200","996-6177",="996-6177",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"EVS Metal",="318","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="50 Optical Ave ","","","Keene","NH",="03431","","","352-1667",="352-1667",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Excel Blades",="297","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="481 Getty Ave","","","Paterson","NJ",="07503","","","278-4000",="278-4000",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Excello Tool Eng and Mfg","E00012","",="1","Customer","C","","","","","Yes","Y","No","n","","","","",="37 Warfield Street","","","Milford","CT",="06461","United States","","878-4073",="878-4073","878-6664",="878-6664",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD",="06-1117291",="0082099-000",="4000-00-00"
"Fabtron Precision Fabrications",="444","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="80 Farmington Valley Drive","","","Plainville","CT",="06062","","","410-1801",="410-1801",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="06-0836770",="0675157-000",="4000-00-00"
"Factory Amsterdam",="780","",="1","Customer","C","","","","","No","N","No","N","","","","","","","","","","","","",,"",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Fad Tool",="459","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","","582-7890",="582-7890",,"",,"",,"","",="0001","","","","","","","No","N","USD","","",="4000-00-00"
"Fairchild Auto-Mated Parts Inc.",="668","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="10 White Street","","","Winsted","CT",="06098","","","379 - 2725",="379 - 2725","860 - 379 - 5340",="860 - 379 - 5340",,"",,"","","","RE","Russell Earls","","","","","No","N","USD",="06-0616358",="0568956-000",="4000-00-00"
"Falcon Stainless & Alloys Corp",="711","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="39 Hewson Ave","","","Waldwick","NJ",="07463","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Farmington Display Inc. ",="545","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="21 hyde Road","","","Farmington ","CT",="06032","","","677-2497",="677-2497",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Fasano Corp",="497","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="333 Wellington Ave","","","Cranston","RI",="02910","","","785-9646",="785-9646",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD",="05-035060","",="4000-00-00"
"Fascomp Mfg & Design",="419","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","88 Great Hill Rd.","","","Naugatuck","CT",="06770","","","720-1146",="720-1146",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="84-18977331",="79406757-101",="4000-00-00"
"FBT Inc. ",="589","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","St. Catharines","ON","","","",,"",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"FC Machinery CT LLC",="259","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="53 South End Plaza","","","New Milford","CT",="06776","","","355-3895",="355-3895",,"",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"FedEx",="573","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="1000 Omega Drive Suite 1500","","","Pittsburgh ","PA",="15205","","",,"",,"",,"",,"","","","","","","","","","No","N","USD","","",="6070-00-00"
"Fenix Store Front & Signs LLC",="415","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="53-44 97th Place","","","Corona","NY",="11368","","","440-8429",="440-8429",,"",,"",,"","",="0003","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Ferry Machine Corp ",="641","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="75 Industrial Avenue","",""," Little Ferry","NJ"," 07643","","","641-9191",="641-9191",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"FF Screw Products Inc.",="409","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="888 West Queen St","","","Southington","CT",="06489","","","621-4567",="621-4567","860-621-1431",="860-621-1431",,"",,"","Billing@fragolaperformancesystems.com",="0002","EP","Edward Pantalena","","","","","No","N","USD",="06-0969528",="2311116-000",="4000-00-00"
"Fitz Machine",="169","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","4 Railroad Ave. ","Suite 1","","Wakefield","MA",="01880","","","245-5966",="245-5966","245-5967",="245-5967",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Fleetwood Industires, Inc.",="791","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="4 Northwest Drive","PO Box 862 Plainville, CT 06062","","Plainville","CT",="06062","","","747 - 6750",="747 - 6750",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="06-1167224",="4531364-000",="4000-00-00"
"FLOW INTERNATIONAL CORPORATION",="819","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="23500 64TH AVE SOUTH","","","KENT","WA",="98032","","","253-850-3500",="253-850-3500",,"","253-813-3351",="253-813-3351",,"","","","","","","","","","No","N","USD","","",="4000-00-00"
"Floyd Manufacturing Co","ALUM12","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="5 Pasco Hill Road","","","Cromwell","CT",="06416","United States","","829-1920",="829-1920",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Focal Metals",="469","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"Focus Technology Co, LLC",="294","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","600 Four Rod Rd. Unit #5","","","Berlin","CT",="06037","","","829-8007",="829-8007",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Fore Machine LLC",="378","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="5933 Eden Drive","","","Halton City","TX",="76117","","","834-6251",="834-6251","838-9111",="838-9111",,"",,"","","","RE","Russell Earls","","","","","No","N","USD",="81-5081850",="17520791207",="4000-00-00"
"Forestville Machine Co. ",="315","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","355 S Washington St.","","","Plainville","CT",="06062","","",,"",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Forestville Manufacturing","F0001","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="156 Enterprise Drive","","","Bristol","CT",="06010","","","582-4362",="582-4362","584-0941",="584-0941",,"",,"","forestville.mfg@snet.net",="0001","JG","Jason Ganser","","","","","No","N","USD",="06-0943436","",="4000-00-00"
"Form Logic",="491","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","","538-4566",="538-4566",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Forster Precision Tool LLC","F00022","",="1","Customer","C","","","","","Yes","Y","No","n","","","","",="591 N Main Street","","","Seymour","CT",="06483","United States","","828-6112",="828-6112","828-6174",="828-6174",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD",="27-4444388",="518352296-001",="4000-00-00"
"Four Seasons Banquet",="123","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="337 Kenyon St","","","Stratford","CT",="06614","","",,"",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"Frank Roth Co. Inc. ",="210","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","1795 Stratford Ave.","","","Stratford","CT",="06615","","","377-2155",="377-2155","375-8448",="375-8448",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"Fries Spinning and Stamping",="523","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","65 Washington St.","","","Wallingford","CT",="06492","","","265-1678",="265-1678","203-265-1670",="203-265-1670",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="06-0798704",="0653451-000",="4000-00-00"
"Frontline Industries, Inc.",="787","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","","990 Chancellor Ave.","","","Irvington","NJ",="07111","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"FTB International Corp",="757","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="26 Broadway ","9 mezz. -1","","New York","NY",="10004","","",,"",,"",,"",,"","www.ftbny.com","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Fusion Cycles LLC",="829","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="58 Mountain View Dr","","","Newtown","CT",="06470","","","300 - 7562",="300 - 7562",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="88-0929363","",="4000-00-00"
"G&S METALS,LLC",="339","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="44 NUTMEG ROAD NORTH","","","SOUTH WINDSOR","CT",="06074","","","528-7033",="528-7033","528-0237",="528-0237",,"",,"","ROBERT@GSSCRAP.COM","","","","","","","","No","N","USD",="82-4289505",="73719346-001",="4000-00-00"
"Garden State Mach.",="679","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Garrett Container Systems, Inc.",="742","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","123 N. Industrial Park Ave","","","Accident ","MD",="21520","","","746 - 8970",="746 - 8970",,"","301 - 746 - 8966",="301 - 746 - 8966",,"","","","RE","Russell Earls","","","","","No","N","USD",="52-1748160","",="4000-00-00"
"GB Industries II, INC",="337","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="341 Margaret King Avenue","","","Ringwood","NJ",="07456","","","728-5900",="728-5900","728-1267",="728-1267",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="22-3087532","",="4000-00-00"
"Gen-El-Mec",="397","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="2 Fox Hollow Road","","","Oxford","CT",="06478","","","828-6566",="828-6566",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="06-0763923",="06 25509000",="4000-00-00"
"General Dyanmics- OTS Garland",="401","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="1200 North Glenbrook Drive","","","Garland","TX",="75040","United States","","494-7757",="494-7757   ",,"",,"",,"","","","LT","Laura Trumpower","","","","","No","N","USD","","",="4000-00-00"
"General Dynamics Information Technology",="784","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="100 Mechanic Street","","","Pawcatuck","CT",="06379","","","441-2439",="441-2439",,"",,"",,"","","","LT","Laura Trumpower","","","","","No","N","USD","","",="4000-00-00"
"General Dynamics -OTS",="506","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="220 East High Street","Building #1","","Red Lion","PA",="17356","","","244-4551",="244-4551",,"",,"",,"","","","LT","Laura Trumpower","","","","","No","N","USD",="06-1458069","",="4000-00-00"
"General Dynamics- OTS-D",="516","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="200 East High Street","","","Red Lion","PA",="17356","","","244-4551",="244-4551","244-3187",="244-3187",,"",,"","","","LT","Laura Trumpower","","","","","No","N","USD",="231932238","",="4000-00-00"
"General Machine Company, Inc.",="384","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","1223 Mt. Vernon Road","","","Southington","CT",="06489","","","426-9295",="426-9295","860-426-9853",="860-426-9853",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="06-1075545",="3455722-000",="4000-00-00"
